Fecha,Real,Predicción
2025-10-30,8114.63663,8188.351616455002
2025-10-31,8228.25998,8192.311520363648
2025-11-01,6217.46664,10275.50551921995
2025-11-03,5652.28333,8508.98906115897
2025-11-04,6695.2333,8795.716929133734
2025-11-05,8715.64665,8421.07677103846
2025-11-06,11565.25,8375.194568174225
2025-11-07,7714.48333,8952.882901318793
2025-11-08,9320.37999,10255.51220006211
2025-11-10,7884.5,8381.750141973776
2025-11-11,7715.76666,8751.873910546778
2025-11-12,8926.48332,8713.570796462198
2025-11-13,6570.59999,8921.666250459104
2025-11-14,7136.31666,9176.833449472111
2025-11-15,9035.33332,10456.342029491116
2025-11-17,8353.81333,8840.024628522431
2025-11-18,6941.86666,8551.784120921502
2025-11-19,8122.53333,8773.219331994907
2025-11-20,9386.15999,9297.72507098227
2025-11-21,7974.83333,9205.043193656024
2025-11-22,11543.41664,10215.74411840251
2025-11-24,12705.8,8770.54979370864
2025-11-25,10351.78333,8471.63393706307
2025-11-26,12013.80999,8547.115566518585
2025-11-27,10279.19665,9267.839251385984
2025-11-28,9670.31665,9256.173171800641
2025-11-29,11571.32999,9223.59278682592
2025-11-30,12678.96331,9062.017595308129
2025-12-02,6112.03333,8657.977400144318
2025-12-03,7836.08333,9746.43996275161
2025-12-04,9311.0,10765.573586858276
2025-12-05,7412.23332,10307.333224280927
2025-12-06,8723.26665,12007.81074176555
2025-12-08,7828.99999,10945.419681716034
2025-12-09,7476.2,10111.989267377448
2025-12-10,12347.09333,10882.261866823408
2025-12-11,10835.03333,11451.036429082691
2025-12-12,10515.59333,10802.152581230244
2025-12-13,11636.0,11384.387041181742
2025-12-14,9335.14999,11500.48758472571
2025-12-15,9053.70332,9871.434757829431
2025-12-16,10384.06666,11150.419776121398
2025-12-17,10778.06666,10176.543432993709
2025-12-18,7528.30999,10013.504719179404
2025-12-19,11651.31,11842.389481043303
2025-12-20,9907.73333,11379.37017227068
2025-12-21,9344.27998,11244.12767268325
2025-12-22,12651.86333,11179.39510679664
2025-12-23,16336.16665,11108.057549847197
2025-12-24,9273.82666,11135.929977456322
2025-12-26,10274.99333,12441.94128875023
2025-12-27,8709.29666,12112.658896267283
2025-12-28,10107.14999,11294.152091436878
2025-12-29,10147.77665,11143.964660165879
2025-12-30,8356.09666,10834.845585316254
2025-12-31,17922.8,10675.926644482848
